"country","most_goals"
"Germany","70"
"Brazil","64"
"Argentina","52"
"France","50"
"Spain","47"
"England","42"
"Portugal","42"
"Netherlands","40"
"Croatia","32"
"Belgium","29"
"South Korea","28"
"Uruguay","28"
"Japan","24"
"Italy","23"
"Mexico","23"
"Switzerland","22"
"USA","22"
"Colombia","18"
"Costa Rica","18"
"Ghana","18"
"Australia","17"
"Russia","17"
"Senegal","16"
"Ecuador","14"
"Sweden","14"
"Ivory Coast","13"
"Denmark","12"
"Paraguay","11"
"Nigeria","10"
"Poland","10"
"Tunisia","10"
"Turkey","10"
"Cameroon","9"
"Chile","9"
"Iran","9"
"Serbia","9"
"Morocco","8"
"South Africa","8"
"Algeria","7"
"Saudi Arabia","7"
"Republic of Ireland","6"
"Greece","5"
"Slovakia","5"
"Slovenia","5"
"Ukraine","5"
"Bosnia and Herzegovina","4"
"Czech Republic","3"
"Canada","2"
"Egypt","2"
"Iceland","2"
"New Zealand","2"
"Panama","2"
"Peru","2"
"Serbia and Montenegro","2"
"Angola","1"
"Honduras","1"
"North Korea","1"
"Qatar","1"
"Togo","1"
"Wales","1"
"China PR","0"
"Trinidad and Tobago","0"
